0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Year
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,2026
1,Cooper Flagg,19,DAL,56,412,500,0.824,70,33.5,21.0,6.7,4.5,1.2,0.9,.468,.295,.827,3.8,.078,2026
2,Kon Knueppel,20,CHO,44,386,500,0.772,81,31.5,18.5,5.3,3.4,0.7,0.2,.475,.425,.863,8.0,.151,2026
3,VJ Edgecombe,20,PHI,0,96,500,0.192,75,35.0,16.0,5.6,4.2,1.4,0.5,.438,.354,.818,4.4,.081,2026
4,Dylan Harper,19,SAS,0,5,500,0.010,69,22.6,11.8,3.4,3.9,0.8,0.3,.505,.343,.756,4.2,.130,2026
5,Cedric Coward,22,MEM,0,1,500,0.002,62,25.8,13.6,5.9,2.8,0.6,0.4,.471,.338,.843,2.5,.076,2026
