0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Year
30,Payton Pritchard,28,BOS,PG,42,42,1373,17.1,.563,.530,.144,3.4,11.5,7.5,23.4,1.3,0.4,7.3,20.7,3.4,1.1,4.4,.155,2.3,-0.6,1.7,1.3,,2026
31,Devin Booker,29,PHO,SG,40,40,1365,19.3,.577,.293,.447,2.7,10.6,6.6,29.8,1.3,0.8,13.3,31.1,2.6,1.2,3.8,.135,2.4,-0.9,1.5,1.2,,2026
32,Jaylen Brown,29,BOS,SF,40,40,1365,22.9,.582,.264,.331,4.2,17.2,10.8,24.3,1.5,1.2,12.8,37.0,2.3,1.5,3.8,.134,3.9,-0.9,3.0,1.7,,2026
33,VJ Edgecombe,20,PHI,SG,38,38,1359,13.2,.535,.427,.181,5.1,11.4,8.1,17.2,2.0,1.3,11.2,19.5,0.9,1.4,2.4,.083,-0.8,0.2,-0.6,0.5,,2026
34,Ryan Rollins,23,MIL,PG,43,38,1355,15.7,.565,.429,.154,3.0,13.1,8.1,26.5,2.3,1.3,14.0,23.1,0.9,1.3,2.2,.080,0.1,-0.1,0.1,0.7,,2026
35,Jaden McDaniels,25,MIN,PF,42,42,1351,14.4,.611,.303,.239,4.1,11.4,7.8,12.4,1.7,2.6,12.2,18.4,1.8,1.6,3.4,.120,-0.7,0.7,0.0,0.7,,2026
36,Russell Westbrook,37,SAC,SF,45,39,1341,15.8,.540,.437,.225,5.3,17.8,11.4,34.9,2.3,0.5,19.2,25.6,-0.2,1.0,0.7,.025,0.9,-0.4,0.4,0.8,,2026
37,Jalen Brunson,29,NYK,PG,39,39,1341,21.4,.594,.366,.283,1.6,8.7,5.1,29.7,0.9,0.2,8.9,31.4,3.9,0.7,4.6,.165,4.8,-1.9,2.9,1.7,,2026
38,Rudy Gobert,33,MIN,C,42,42,1329,17.7,.686,.004,.598,13.8,25.5,19.8,7.4,1.0,4.7,14.3,12.4,2.9,2.2,5.1,.183,0.1,0.9,1.0,1.0,,2026
39,Karl-Anthony Towns,30,NYK,C,41,41,1313,20.8,.601,.325,.445,9.9,30.0,19.7,13.6,1.4,2.1,13.2,26.1,2.7,1.8,4.6,.167,2.1,-0.1,1.9,1.3,,2026
40,Evan Mobley,24,CLE,PF,39,37,1297,18.5,.582,.282,.348,7.4,20.9,14.1,17.7,1.4,5.3,12.5,21.6,1.7,1.8,3.5,.130,1.1,1.5,2.6,1.5,,2026
41,Royce O'Neale,32,PHO,SF,44,39,1291,11.8,.606,.825,.051,2.6,16.7,9.5,13.5,1.9,1.0,14.8,14.5,1.1,1.6,2.8,.102,0.1,1.1,1.2,1.0,,2026
42,Nikola Vučević,35,CHI,C,42,42,1290,18.7,.585,.338,.105,7.7,23.8,15.9,18.4,1.0,1.8,8.8,21.8,2.1,1.2,3.3,.124,2.0,-0.3,1.7,1.2,,2026
43,Anthony Black,22,ORL,PG,42,22,1284,14.3,.569,.368,.314,2.7,12.1,7.4,19.7,2.0,1.9,14.8,22.5,0.5,1.5,2.0,.074,-0.7,0.4,-0.2,0.6,,2026
44,Cade Cunningham,24,DET,PG,36,36,1276,21.6,.563,.304,.372,3.2,15.2,9.2,43.1,2.0,2.3,14.4,30.8,2.6,2.2,4.7,.178,4.4,1.3,5.7,2.5,,2026
45,Naji Marshall,28,DAL,SF,44,21,1272,15.9,.629,.300,.376,3.1,13.7,8.6,14.5,1.8,0.3,10.3,18.3,2.1,1.5,3.6,.137,-0.3,1.0,0.7,0.9,,2026
46,Andrew Wiggins,30,MIA,SF,40,40,1263,14.3,.566,.370,.174,5.8,10.2,8.0,12.5,1.7,2.9,10.9,20.3,0.8,1.5,2.3,.087,0.0,0.5,0.5,0.8,,2026
47,Julian Champagnie,24,SAS,SF,44,30,1256,13.0,.599,.765,.222,3.8,19.7,11.9,6.8,1.5,1.2,9.6,15.8,1.3,1.8,3.1,.119,0.4,0.6,1.0,1.0,,2026
48,Harrison Barnes,33,SAS,PF,44,44,1249,11.3,.581,.602,.203,3.1,8.3,5.7,10.2,1.3,0.5,9.2,15.3,1.3,1.2,2.5,.098,-0.7,0.0,-0.7,0.4,,2026
49,Quentin Grimes,25,PHI,SG,40,7,1248,13.1,.593,.579,.337,2.3,11.8,6.9,16.9,1.6,1.3,15.0,18.4,1.2,1.2,2.4,.092,-0.6,-0.2,-0.8,0.4,,2026
50,Peyton Watson,23,DEN,SF,42,32,1247,14.3,.605,.340,.333,3.7,14.9,9.6,8.5,1.7,3.2,12.8,19.5,0.9,1.2,2.0,.079,-0.9,-0.5,-1.3,0.2,,2026
51,CJ McCollum,34,2TM,PG,41,36,1239,15.1,.560,.448,.208,2.2,9.6,5.9,18.9,1.1,1.0,9.0,25.1,1.0,0.1,1.1,.044,0.7,-2.6,-1.9,0.0,,2026
51,CJ McCollum,34,WAS,SG,35,35,1082,15.3,.573,.461,.193,2.2,9.8,6.0,18.2,1.1,0.7,9.2,24.4,1.2,0.0,1.1,.051,1.1,-2.7,-1.7,0.1,,2026
51,CJ McCollum,34,ATL,PG,6,1,157,13.7,.486,.374,.297,2.1,7.7,4.9,23.1,1.5,2.9,8.0,29.8,-0.1,0.1,0.0,-0.004,-1.6,-1.8,-3.4,-0.1,,2026
52,Collin Gillespie,26,PHO,PG,44,25,1237,16.9,.600,.652,.125,3.9,12.5,8.1,24.7,2.4,0.9,13.4,19.2,2.3,1.6,3.9,.150,2.9,1.1,4.0,1.9,,2026
53,Luka Dončić,26,LAL,PG,34,34,1234,27.2,.608,.454,.510,2.9,21.5,12.5,41.4,2.1,1.4,13.8,38.1,3.5,1.3,4.8,.186,7.1,0.7,7.8,3.1,,2026
54,Anthony Edwards,24,MIN,SG,35,35,1231,23.1,.629,.417,.357,1.9,13.6,7.9,17.6,1.8,2.0,10.1,31.6,2.9,1.5,4.4,.171,5.6,0.1,5.6,2.4,,2026
55,Jaren Jackson Jr.,26,MEM,C,40,40,1220,14.6,.576,.314,.278,3.0,16.1,9.6,9.6,1.4,4.6,12.4,25.1,0.0,1.7,1.7,.065,-1.6,0.7,-1.0,0.3,,2026
56,Jeremiah Fears,19,NOP,PG,46,44,1214,12.7,.520,.264,.241,3.1,12.6,7.7,17.6,2.2,0.9,14.8,24.7,-0.8,0.6,-0.2,-0.009,-2.3,-1.6,-3.9,-0.6,,2026
57,Wendell Carter Jr.,26,ORL,C,40,40,1213,14.7,.623,.395,.372,8.6,19.3,13.9,9.9,1.1,2.2,11.5,15.6,2.1,1.4,3.5,.139,-0.4,0.5,0.1,0.6,,2026
58,Brandin Podziemski,22,GSW,SG,45,13,1200,14.3,.594,.494,.248,2.6,15.8,9.2,17.5,2.0,0.6,11.8,18.5,1.4,1.4,2.8,.113,-0.2,0.5,0.4,0.7,,2026
59,Shaedon Sharpe,22,POR,SG,40,34,1199,16.0,.547,.338,.250,4.2,12.3,8.2,15.4,2.3,0.4,13.1,31.0,-0.1,1.1,1.0,.039,0.0,-1.1,-1.2,0.3,,2026
60,Matas Buzelis,21,CHI,PF,43,43,1198,15.0,.594,.461,.263,4.4,15.1,9.8,9.5,1.2,4.5,11.9,21.6,0.7,1.1,1.8,.073,-0.9,-0.4,-1.3,0.2,,2026
61,Noah Clowney,21,BRK,PF,42,36,1194,11.4,.550,.634,.373,3.7,13.7,8.4,10.2,1.4,2.6,12.8,20.9,0.0,0.8,0.8,.032,-2.1,-1.0,-3.2,-0.4,,2026
62,Bub Carrington,20,WAS,PG,42,15,1189,8.9,.544,.580,.157,1.6,12.9,7.2,22.1,0.9,0.7,20.4,16.5,-0.3,0.1,-0.2,-0.008,-2.6,-2.1,-4.8,-0.8,,2026
63,Lauri Markkanen,28,UTA,PF,33,33,1187,21.2,.616,.405,.345,6.0,16.0,10.9,9.9,1.4,1.3,6.5,27.8,2.8,0.2,3.0,.122,4.6,-2.1,2.5,1.3,,2026
64,Nic Claxton,26,BRK,C,40,39,1183,18.8,.608,.034,.423,9.6,20.3,14.7,22.2,1.2,4.3,12.4,17.5,2.5,1.1,3.6,.146,0.9,1.2,2.1,1.2,,2026
65,Jimmy Butler,36,GSW,SF,38,38,1182,23.6,.646,.184,.621,8.2,11.6,9.9,24.0,2.2,0.6,9.3,23.2,4.7,1.3,6.1,.246,4.9,0.6,5.5,2.3,,2026
66,Kris Dunn,31,LAC,PG,43,37,1181,11.5,.601,.479,.181,3.6,8.8,6.3,16.4,2.8,0.6,16.9,13.0,1.1,0.9,1.9,.078,-2.0,0.8,-1.2,0.2,,2026
67,A.J. Green,26,MIL,SG,40,40,1181,9.7,.654,.906,.097,0.7,9.1,4.9,9.2,1.0,0.2,10.1,13.4,1.2,0.5,1.7,.069,-1.3,-1.3,-2.6,-0.2,,2026
68,Tim Hardaway Jr.,33,DEN,SG,43,5,1178,13.9,.629,.696,.221,0.8,8.5,4.8,7.0,0.9,0.5,3.8,18.4,2.2,0.4,2.5,.103,1.4,-2.3,-0.9,0.3,,2026
69,Norman Powell,32,MIA,SG,38,38,1176,19.0,.629,.449,.345,1.1,11.3,6.2,13.4,1.8,0.6,9.5,27.3,2.1,1.3,3.3,.137,2.9,0.2,3.1,1.5,,2026
70,Derik Queen,21,NOP,C,45,33,1169,16.9,.553,.095,.340,7.0,24.5,15.6,24.8,1.9,3.5,18.0,22.0,0.5,1.1,1.6,.067,-0.9,0.8,-0.1,0.6,,2026
71,Dillon Brooks,30,PHO,SF,38,38,1169,13.8,.553,.421,.211,2.4,10.1,6.2,8.8,1.7,0.3,9.4,27.9,0.4,1.1,1.6,.064,-1.2,-1.1,-2.3,-0.1,,2026
72,Davion Mitchell,27,MIA,PG,40,40,1167,11.9,.557,.378,.141,1.4,7.8,4.6,31.6,1.9,0.4,17.2,13.6,1.3,1.2,2.5,.101,-1.8,0.7,-1.1,0.3,,2026
