0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Year
3,Moses Malone,29,PHI,0,218,780,0.279,79,37.4,24.6,13.1,1.6,0.8,1.6,.469,.000,.815,11.9,.193,1985
4,Kareem Abdul-Jabbar,37,LAL,0,206,780,0.264,79,33.3,22.0,7.9,3.2,0.8,2.1,.599,.000,.732,11.2,.204,1985
5,Terry Cummings,23,MIL,2,138,780,0.177,79,34.5,23.6,9.1,2.9,1.5,0.8,.495,.000,.741,10.7,.189,1985
6,Michael Jordan,21,CHI,2,134,780,0.172,82,38.3,28.2,6.5,5.9,2.4,0.8,.515,.173,.845,14.0,.213,1985
7,Bernard King,28,NYK,0,70,780,0.090,55,37.5,32.9,5.8,3.7,1.3,0.3,.530,.100,.772,7.1,.166,1985
8,Sidney Moncrief,27,MIL,0,65,780,0.083,73,37.5,21.7,5.4,5.2,1.6,0.5,.483,.273,.828,11.2,.197,1985
9,Isiah Thomas,23,DET,0,63,780,0.081,81,38.1,21.2,4.5,13.9,2.3,0.3,.458,.257,.809,11.2,.173,1985
10,Ralph Sampson,24,HOU,0,26,780,0.033,82,37.6,22.1,10.4,2.7,1.0,2.0,.502,.000,.676,6.2,.096,1985
11,Calvin Natt,28,DEN,0,22,780,0.028,78,34.1,23.3,7.8,3.1,1.0,0.4,.546,.000,.793,10.2,.185,1985
12T,Alex English,31,DEN,0,12,780,0.015,81,36.1,27.9,5.7,4.2,1.2,0.6,.518,.200,.829,8.9,.146,1985
12T,Hakeem Olajuwon,22,HOU,0,12,780,0.015,82,35.5,20.6,11.9,1.4,1.2,2.7,.538,,.613,10.2,.168,1985
14,Michael Ray Richardson,29,NJN,0,11,780,0.014,82,38.1,20.1,5.6,8.2,3.0,0.3,.469,.252,.767,8.7,.134,1985
15,Andrew Toney,27,PHI,0,5,780,0.006,70,32.0,17.8,2.5,5.2,0.9,0.3,.492,.371,.862,5.5,.118,1985
16,Mark Eaton,28,UTA,0,4,780,0.005,82,34.3,9.7,11.3,1.5,0.4,5.6,.449,,.712,5.4,.093,1985
17T,Paul Pressey,26,MIL,0,3,780,0.004,80,36.0,16.1,5.4,6.8,1.6,0.7,.517,.350,.758,9.6,.160,1985
17T,Jack Sikma,29,SEA,0,3,780,0.004,68,35.3,18.5,10.6,4.2,1.2,1.3,.489,.200,.852,8.3,.166,1985
17T,Dominique Wilkins,25,ATL,0,3,780,0.004,81,37.3,27.4,6.9,2.5,1.7,0.7,.451,.309,.806,7.6,.121,1985
20T,World B. Free,31,CLE,0,2,780,0.003,71,31.7,22.5,3.0,4.5,1.1,0.2,.459,.368,.749,6.0,.127,1985
20T,Purvis Short,27,GSW,0,2,780,0.003,78,39.5,28.0,5.1,3.0,1.5,0.3,.460,.313,.817,6.2,.097,1985
22T,Clyde Drexler,22,POR,0,1,780,0.001,80,31.9,17.2,6.0,5.5,2.2,0.9,.494,.216,.759,7.5,.141,1985
22T,Julius Erving,34,PHI,0,1,780,0.001,78,32.5,20.0,5.3,3.0,1.7,1.4,.494,.214,.765,7.6,.144,1985
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,1986
1,Larry Bird,29,BOS,73,765,780,0.981,82,38.0,25.8,9.8,6.8,2.0,0.6,.496,.423,.896,15.8,.244,1986
2,Dominique Wilkins,26,ATL,5,407,780,0.522,78,39.1,30.3,7.9,2.6,1.8,0.6,.468,.186,.818,10.8,.170,1986
3,Magic Johnson,26,LAL,0,205,780,0.263,72,35.8,18.8,5.9,12.6,1.6,0.2,.526,.233,.871,12.1,.226,1986
4,Hakeem Olajuwon,23,HOU,0,193,780,0.247,68,36.3,23.5,11.5,2.0,2.0,3.4,.526,,.645,9.5,.186,1986
5,Kareem Abdul-Jabbar,38,LAL,0,135,780,0.173,79,33.3,23.4,6.1,3.5,0.8,1.6,.564,.000,.765,10.8,.197,1986
6,Charles Barkley,22,PHI,0,133,780,0.171,80,36.9,20.0,12.8,3.9,2.2,1.6,.572,.227,.685,10.8,.176,1986
7,Sidney Moncrief,28,MIL,0,56,780,0.072,73,35.2,20.2,4.6,4.9,1.4,0.2,.489,.320,.859,11.7,.219,1986
8,Alex English,32,DEN,0,55,780,0.071,81,37.3,29.8,5.0,4.0,0.9,0.4,.504,.200,.862,9.8,.156,1986
9,Isiah Thomas,24,DET,0,28,780,0.036,77,36.2,20.9,3.6,10.8,2.2,0.3,.488,.310,.790,8.8,.151,1986
10,Moses Malone,30,PHI,0,21,780,0.027,74,36.6,23.8,11.8,1.2,0.9,1.0,.458,.000,.787,8.9,.157,1986
11,Terry Cummings,24,MIL,0,9,780,0.012,82,32.5,19.8,8.5,2.4,1.5,0.6,.474,.000,.656,7.4,.133,1986
12,James Worthy,24,LAL,0,7,780,0.009,75,32.7,20.0,5.2,2.7,1.1,1.0,.579,.000,.771,9.5,.185,1986
13T,Kevin McHale,28,BOS,0,3,780,0.004,68,35.3,21.3,8.1,2.7,0.4,2.0,.574,,.776,11.0,.220,1986
13T,Paul Pressey,27,MIL,0,3,780,0.004,80,33.8,14.3,5.0,7.8,2.1,0.9,.488,.182,.806,9.8,.174,1986
13T,Alvin Robertson,23,SAS,0,3,780,0.004,82,35.1,17.0,6.3,5.5,3.7,0.5,.514,.276,.795,8.6,.143,1986
16T,Adrian Dantley,30,UTA,0,2,780,0.003,76,36.1,29.8,5.2,3.5,0.8,0.1,.563,.091,.791,12.8,.223,1986
