0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Year
321,Tyrese Martin,26,BRK,SG,37,6,18.8,2.7,6.9,.392,1.4,4.1,.336,1.3,2.8,.476,.492,0.5,0.7,.731,0.9,2.0,2.9,1.9,0.6,0.1,0.9,0.8,7.3,,2026
321,Tyrese Martin,26,PHI,SG,8,0,9.9,1.1,2.8,.409,0.3,1.6,.154,0.9,1.1,.778,.455,0.0,0.3,.000,0.3,1.0,1.3,1.1,0.4,0.3,0.9,0.4,2.5,,2026
322,Alex Caruso,31,OKC,SG,52,0,18.4,2.3,5.5,.420,0.9,3.3,.287,1.4,2.3,.615,.505,0.8,1.0,.804,0.5,2.3,2.8,2.0,1.3,0.3,0.8,1.2,6.4,,2026
323,Andre Drummond,32,PHI,C,56,24,19.5,2.5,5.4,.470,0.5,1.4,.346,2.0,3.9,.516,.517,0.8,1.3,.627,3.1,5.2,8.4,1.1,0.6,0.8,1.0,2.0,6.4,,2026
324,Ousmane Dieng,22,2TM,C,49,13,17.0,2.4,5.7,.428,1.1,2.9,.382,1.3,2.7,.478,.527,0.3,0.4,.714,0.4,2.1,2.6,1.8,0.4,0.3,0.9,1.3,6.3,,2026
324,Ousmane Dieng,22,OKC,C,27,0,10.9,1.4,3.4,.418,0.7,1.8,.367,0.7,1.6,.476,.516,0.2,0.2,1.000,0.3,1.3,1.6,1.0,0.1,0.3,0.3,0.8,3.7,,2026
324,Ousmane Dieng,22,MIL,C,22,13,24.5,3.7,8.5,.433,1.7,4.3,.389,2.0,4.2,.478,.532,0.4,0.7,.600,0.6,3.2,3.8,2.7,0.9,0.4,1.7,2.0,9.5,,2026
325,Kyle Anderson,32,3TM,SF,36,3,19.6,2.5,4.6,.533,0.1,0.3,.444,2.4,4.4,.538,.545,1.2,1.7,.705,0.9,2.5,3.4,2.7,1.0,0.5,1.0,2.3,6.3,,2026
325,Kyle Anderson,32,UTA,SF,20,0,20.1,2.9,5.5,.523,0.2,0.3,.600,2.7,5.2,.519,.537,1.3,1.9,.658,1.0,2.4,3.3,3.1,1.2,0.5,0.9,2.3,7.1,,2026
325,Kyle Anderson,32,MEM,SF,4,3,22.3,3.8,4.8,.789,0.3,0.3,1.000,3.5,4.5,.778,.816,1.5,2.0,.750,0.8,2.8,3.5,0.8,1.5,1.0,1.8,3.0,9.3,,2026
325,Kyle Anderson,32,MIN,SF,12,0,17.9,1.4,3.3,.436,0.0,0.3,.000,1.4,3.0,.472,.436,1.0,1.3,.800,0.9,2.6,3.5,2.8,0.6,0.4,0.9,1.9,3.8,,2026
326,Gradey Dick,22,TOR,SG,69,1,14.9,2.2,5.3,.417,0.8,2.7,.301,1.4,2.7,.533,.492,1.1,1.2,.880,0.6,1.5,2.1,0.7,0.6,0.1,0.6,1.4,6.3,,2026
327,Drake Powell,20,BRK,SG,57,19,20.1,2.2,5.2,.421,0.8,2.8,.299,1.4,2.5,.556,.500,1.0,1.1,.908,0.3,1.3,1.7,1.5,0.5,0.2,0.9,1.4,6.3,,2026
328,Jamir Watkins,24,WAS,SG,42,5,19.2,2.3,5.2,.450,0.8,2.7,.296,1.5,2.5,.621,.528,0.9,1.3,.655,1.0,2.6,3.6,1.2,1.1,0.5,0.7,2.5,6.3,,2026
329,Justin Edwards,22,PHI,SF,57,12,15.8,2.3,5.1,.455,1.1,2.9,.370,1.2,2.2,.568,.560,0.5,0.6,.838,0.4,1.1,1.6,1.3,0.8,0.2,0.6,1.5,6.2,,2026
330,Ryan Nembhard,22,DAL,PG,53,21,18.5,2.5,6.1,.419,0.8,2.1,.381,1.7,3.9,.440,.486,0.3,0.4,.800,0.2,1.8,1.9,4.9,0.4,0.0,1.4,1.3,6.2,,2026
331,Tidjane Salaün,20,CHO,PF,36,0,15.9,2.2,4.4,.506,1.0,2.3,.434,1.2,2.1,.587,.620,0.7,1.1,.650,0.7,3.4,4.1,0.8,0.4,0.2,0.7,1.5,6.2,,2026
332,Nate Williams,26,GSW,SG,11,0,13.3,2.3,4.5,.500,0.6,1.5,.412,1.6,3.0,.545,.570,1.0,1.2,.846,1.2,0.6,1.8,0.8,0.3,0.0,0.8,1.6,6.2,,2026
333,Tyson Etienne,26,BRK,PG,18,0,11.6,1.8,4.3,.423,1.6,3.6,.446,0.2,0.7,.308,.609,0.8,0.9,.875,0.1,0.6,0.7,1.2,0.3,0.0,0.5,1.6,6.1,,2026
334,Leonard Miller,22,2TM,SF,38,7,12.4,2.4,4.5,.535,0.5,1.7,.281,1.9,2.8,.689,.588,0.7,0.9,.771,0.8,2.3,3.2,0.6,0.3,0.2,0.6,1.1,6.0,,2026
334,Leonard Miller,22,MIN,SF,19,0,5.0,0.9,1.7,.545,0.1,0.6,.083,0.9,1.1,.810,.561,0.4,0.6,.636,0.4,0.9,1.3,0.3,0.2,0.0,0.5,0.6,2.3,,2026
334,Leonard Miller,22,CHI,SF,19,7,19.9,3.8,7.2,.533,0.9,2.7,.327,2.9,4.5,.659,.595,1.1,1.3,.833,1.3,3.7,5.0,1.0,0.4,0.4,0.7,1.6,9.6,,2026
